Order_ID,Order_Date,Ship_Date,Ship_Mode,Segment,Region,State,City,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD-2024199,2026-03-30,2026-04-02,Standard Class,Home Office,Central,Ohio,Columbus,Technology,Phones,462.68,1,0.2,18.64
ORD-2024200,2024-11-14,2024-11-19,Standard Class,Corporate,Central,Illinois,Chicago,Technology,Phones,221.44,1,0.2,11.64
ORD-2024201,2026-02-24,2026-03-01,First Class,Corporate,South,Georgia,Atlanta,Office Supplies,Fasteners,28.55,2,0.1,8.54
ORD-2024202,2026-04-30,2026-05-02,Standard Class,Home Office,West,California,Los Angeles,Technology,Accessories,404.86,6,0.15,45.03
ORD-2024203,2024-02-19,2024-02-26,First Class,Corporate,West,Washington,Seattle,Furniture,Furnishings,462.34,5,0.0,32.11
ORD-2024204,2024-09-24,2024-09-27,Second Class,Corporate,Central,Michigan,Detroit,Technology,Copiers,2803.65,3,0.1,-0.66
ORD-2024205,2024-01-25,2024-01-29,First Class,Home Office,Central,Ohio,Columbus,Office Supplies,Art,15.27,1,0.2,3.7
ORD-2024206,2024-02-22,2024-02-26,Standard Class,Consumer,South,North Carolina,Charlotte,Furniture,Tables,4634.48,9,0.2,82.15
ORD-2024207,2026-04-06,2026-04-08,Second Class,Corporate,East,New York,New York City,Furniture,Chairs,446.34,1,0.0,83.83
ORD-2024208,2024-03-17,2024-03-23,Standard Class,Consumer,East,New Jersey,Newark,Technology,Accessories,249.29,6,0.5,-47.69
ORD-2024209,2025-10-01,2025-10-03,Second Class,Consumer,East,Pennsylvania,Philadelphia,Office Supplies,Labels,27.97,7,0.0,8.97
ORD-2024210,2025-08-02,2025-08-09,Second Class,Consumer,South,Florida,Miami,Technology,Phones,456.68,3,0.1,18.49
ORD-2024211,2025-09-09,2025-09-12,Second Class,Corporate,West,Washington,Seattle,Office Supplies,Art,40.31,2,0.2,6.68
ORD-2024212,2025-05-16,2025-05-22,Standard Class,Corporate,Central,Texas,Houston,Office Supplies,Binders,15.89,4,0.5,-1.48
ORD-2024213,2024-07-18,2024-07-25,Standard Class,Home Office,South,Georgia,Atlanta,Technology,Machines,5469.23,5,0.15,817.98
ORD-2024214,2026-05-10,2026-05-15,Standard Class,Consumer,Central,Michigan,Detroit,Technology,Phones,266.9,1,0.2,-12.99
ORD-2024215,2025-03-07,2025-03-14,First Class,Consumer,South,North Carolina,Charlotte,Furniture,Tables,491.62,2,0.0,88.18
ORD-2024216,2025-04-28,2025-05-04,Second Class,Consumer,Central,Texas,Houston,Office Supplies,Fasteners,18.94,2,0.5,-0.44
ORD-2024217,2024-05-30,2024-06-02,Same Day,Corporate,West,Washington,Seattle,Office Supplies,Labels,105.38,9,0.15,20.36
ORD-2024218,2025-12-24,2025-12-27,Second Class,Consumer,Central,Illinois,Chicago,Office Supplies,Labels,20.1,3,0.3,3.51
ORD-2024219,2026-06-10,2026-06-16,Same Day,Consumer,South,Georgia,Atlanta,Furniture,Furnishings,286.19,7,0.4,-1.74
